Månad,Total restaurang försäljning,Hotell restauranger,Caféer,Snabbmats restauranger,Lunch och kvälls restauranger,Trafiknära restauranger,Nöjes restauranger,Personal restauranger
2008K01,5,3.1,13.6,9.7,4.1,-5.2,12.9,-4.4
2008K02,8.9,12.3,13.7,8.2,5.6,13.9,15,5.7
2008K03,5.1,2.4,10.3,13,1.6,14.4,7.3,-1.1
2008K04,3.7,1,8.9,13.3,0.8,8.2,4.1,-0.2
2009K01,1,-0.6,-0.5,1,2,3.4,-2.2,3.4
2009K02,-1.3,-6.3,-3.0,7.5,0.7,-8.8,-5.4,-4.9
2009K03,0.7,1.5,3.2,4.8,1.7,-2.6,-5.0,-1.0
2009K04,1.2,0.1,-1.5,1.9,2.9,-0.1,-2.1,3.5
2010K01,2.8,1.3,7.7,5.8,2.4,1.9,0.9,3
2010K02,4.6,4.8,9.1,2.1,4.3,3.6,5,8.6
2010K03,8.2,8.3,7.6,4.5,9.5,9.3,8.5,4.3
2010K04,7.5,9.3,10.2,4.1,7.2,10.6,8.6,4.8
2011K01,8.2,10.4,11.1,7.5,7.9,6.4,8,8.1
2011K02,9.2,11.1,11.8,5.4,10.3,9.5,6.9,9.1
2011K03,4.5,5.8,6.1,5.5,4.4,8.1,0.9,2.5
2011K04,3.4,5.2,6.5,7.1,3.7,-2.0,0.5,2
2012K01,5.8,5.6,7,7.1,4.7,5.9,10.2,1
2012K02,4.3,5.7,13.8,6.3,3.2,10,5.8,-12.3
2012K03,4.3,5.6,11.6,3.6,3.3,3.3,6.6,-0.5
2012K04,5.2,4.2,10.3,5.3,6.8,5,3.3,-5.3
2013K01,3.8,2.7,8,5.5,5.4,4.2,-0.8,-3.9
2013K02,4.9,-0.3,8.3,5.3,6.9,4,5.4,-7.4
2013K03,4.5,2.3,8.7,2.4,7.2,1.5,2.5,-7.3
2013K04,4.8,5.4,9.4,-0.5,7.1,7.3,2,-3.3
2014K01,5.5,3.1,11.5,0.2,7.9,8.4,3.4,-0.3
2014K02,5.3,5.2,8,2.2,5.3,9.5,2.2,14.3
2014K03,5.3,6.5,6.4,1.7,5.5,9.2,2.6,12.4
2014K04,6.5,8.6,6.9,6.1,7.3,1.6,4.1,10.7
2015K01,6.6,9.8,8,7.4,8.2,-4.9,4.2,5.6
2015K02,4.4,10.4,7.6,5.2,3.2,-5.0,8.2,0.7
2015K03,5.1,8.8,6.4,6.4,5.2,-7.0,7.7,3.2
2015K04,5.2,6.8,9.2,6,5.6,-2.8,5.2,3
2016K01,7.8,7.3,10.2,7.5,6.5,11.9,14.3,-2.4
2016K02,8.2,2.2,5.3,7.7,10.4,17.4,6.4,-1.9
2016K03,6.7,0.7,9,8.4,8.8,10.5,3.8,-8.1
2016K04,4,2.8,3.5,4.3,5.5,8.8,2.5,-8.5
2017K01,7.6,13.9,2.6,6.5,8.4,6.1,9.1,-4.4
2017K02,3.4,5.6,7,6.6,3.6,-9.6,6.9,-6.9
2017K03,2.3,1.6,6.3,3.1,2.3,-5.8,5.2,-0.5
2017K04,3.8,4.6,4.9,6.9,4.7,-4.2,3.3,-3.3
2018K01,0.5,-3.9,6.3,4.2,1.8,-6.6,-1.8,-4.4
2018K02,4.2,13.4,-2.0,1.4,4.7,15,-0.3,-8.1
2018K03,2.9,11.3,-3.3,5.5,3.1,12,-3.8,-10.0
2018K04,3.6,12.8,-0.9,2.2,3.6,11.2,-0.5,-8.9
