Stad,Latitud,Longitud,Sol(sek/h),Sol(Min/h),Sol(% av h)/100,Nederbörd(mm/h),Vind(m/s)/h,Temperatur(c/h),z-Sol,z-Nederbörd,z-Vind,z-Temperatur,Väderpoäng
Stockholm,59.329444,18.068611,805.16,13.42,0.22,0.05,3.358191313,7.365936851,0.32,-1.31,-0.52,0.53,2.67
Norrköping,58.5908037,16.1876678,784.86,13.08,0.22,0.06,2.337006812,7.501600477,0.14,-0.53,-1.28,0.57,2.52
Karlskrona,56.16673,15.58548,882.52,14.71,0.25,0.06,5.121113959,9.290393717,0.98,-0.53,0.80,1.11,1.82
Hoburg,56.9206,18.12603,929.44,15.49,0.26,0.05,5.92,8.453418008,1.38,-0.93,1.40,0.86,1.77
Ölands norra udde,57.3671,17.0954,864.16,14.40,0.24,0.05,5.722890047,8.56,0.82,-1.20,1.25,0.89,1.66
Lund,55.703889,13.202778,749.25,12.49,0.21,0.07,2.735131378,8.553321002,-0.16,0.14,-0.98,0.89,1.57
Karlstad,59.3591,13.4719,795.83,13.26,0.22,0.07,3.464486304,6.375659781,0.24,0.09,-0.44,0.23,0.81
Visby,57.64089,18.29602,890.39,14.84,0.25,0.07,5.11,7.315512341,1.05,0.00,0.80,0.51,0.77
Umeå,63.820556,20.303611,779.95,13.00,0.22,0.06,3.150138902,3.286284203,0.10,-0.40,-0.67,-0.71,0.47
Svenska Högarna,59.443807,19.501813,903.67,15.06,0.25,0.04,7.435065309,6.447191886,1.16,-1.54,2.53,0.25,0.42
Växjö,56.8769445,14.8091668,679.76,11.33,0.19,0.08,3.095364347,7.083712829,-0.76,0.21,-0.71,0.44,0.18
Nordkoster,58.8920,11.0038,867.63,14.46,0.24,0.08,5.793968868,8.192576277,0.85,0.29,1.30,0.78,0.04
Borlänge,60.4855556,15.43626945,752.95,12.55,0.21,0.09,2.833660109,5.430457257,-0.13,1.12,-0.91,-0.06,-0.40
Göteborg,57.7156,11.9924,726.58,12.11,0.20,0.10,3.319354802,8.632115077,-0.36,1.65,-0.55,0.91,-0.55
Östersund,63.1970,14.4798,698.09,11.63,0.19,0.06,3.769180104,3.011878978,-0.60,-0.43,-0.21,-0.79,-0.75
Luleå,65.5762,22.1090,797.40,13.29,0.22,0.09,3.435940579,2.568272768,0.25,0.86,-0.46,-0.92,-1.07
Kiruna,67.850278,20.192778,635.75,10.60,0.18,0.06,3.456424645,-0.861371853,-1.14,-0.84,-0.44,-1.96,-1.81
Storlien,63.2826,12.1218,608.86,10.15,0.17,0.09,3.149741238,2.053723257,-1.37,1.19,-0.67,-1.08,-2.96
Tarfala ,67.9124,18.6101,443.23,7.39,0.12,0.11,3.752415874,-2.379567818,-2.79,2.17,-0.22,-2.42,-7.16
